treatment,covariate,type,n,cor,slope_catepct_per_unit,n0,n1,mean0,mean1,diff1minus0,SMD_kept
seller_N_total_value_high,`time_n-1_sale_str_2023-02`,binary,7323,,,7234,89,0.789090240600544,0.0361535960007237,-0.75293664459982,0.0778195983158851
seller_N_total_value_high,`time_n-1_sale_str_2023-03`,binary,7323,,,7232,91,0.786605567435732,0.250164910474569,-0.536440656961163,0.0966805684413078
seller_N_total_value_high,`time_n-1_sale_str_2023-04`,binary,7323,,,7184,139,0.792478784938009,0.131862442832668,-0.660616342105341,0.101490838422042
seller_N_total_value_high,`time_n-1_sale_str_2023-05`,binary,7323,,,7255,68,0.774580040724536,1.35173933958663,0.577159298862095,0.0253893173022674
seller_N_total_value_high,`time_n-1_sale_str_2023-06`,binary,7323,,,7220,103,0.791451288581373,-0.027008087467099,-0.818459376048472,0.106702279365729
seller_N_total_value_high,`time_n-1_sale_str_2023-07`,binary,7323,,,7235,88,0.794727447919422,-0.435870626688861,-1.23059807460828,0.0706724977484405
seller_N_total_value_high,`time_n-1_sale_str_2023-08`,binary,7323,,,7205,118,0.780437854426836,0.749506181381777,-0.0309316730450585,0.0873676158302933
seller_N_total_value_high,`time_n-1_sale_str_2023-09`,binary,7323,,,7272,51,0.783302334597006,0.300429281548435,-0.482873053048571,0.0673371121310847
seller_N_total_value_high,`time_n-1_sale_str_2023-10`,binary,7323,,,7238,85,0.776740275185946,1.05235716179442,0.275616886608477,0.0587594223979572
seller_N_total_value_high,`time_n-1_sale_str_2023-11`,binary,7323,,,7208,115,0.79900161411662,-0.414844904384343,-1.21384651850096,0.0987772059862801
seller_N_total_value_high,`time_n-1_sale_str_2023-12`,binary,7323,,,7251,72,0.792799351381524,-0.51516147665316,-1.30796082803468,0.0909698477370931
seller_N_total_value_high,`time_n-1_sale_str_2024-01`,binary,7323,,,7243,80,0.797642830843552,-0.82288191564313,-1.62052474648668,0.108477876357468
seller_N_total_value_high,`time_n-1_sale_str_2024-02`,binary,7323,,,7240,83,0.782569799624647,0.550495436939194,-0.232074362685453,0.104616931928025
seller_N_total_value_high,`time_n-1_sale_str_2024-03`,binary,7323,,,7148,175,0.780261504434559,0.766784210572402,-0.0134772938621573,0.0565328367380549
seller_N_total_value_high,`time_n-1_sale_str_2024-04`,binary,7323,,,7188,135,0.779183749803672,0.820175384885958,0.0409916350822863,0.110318480453091
seller_N_total_value_high,`time_n-1_sale_str_2024-05`,binary,7323,,,7259,64,0.77575274232755,1.25480178113612,0.479049038808574,0.0716814191982909
seller_N_total_value_high,`time_n-1_sale_str_2024-06`,binary,7323,,,7228,95,0.782586496086368,0.57853975616984,-0.204046739916528,0.0859247918480905
seller_N_total_value_high,`time_n-1_sale_str_2024-07`,binary,7323,,,7256,67,0.777131789836696,1.0840030372139,0.306871247377205,0.107097940918378
seller_N_total_value_high,`time_n-1_sale_str_2024-08`,binary,7323,,,7249,74,0.774406564210014,1.32193630527037,0.547529741060351,0.0848286775641435
seller_N_total_value_high,`time_n-1_sale_str_2024-09`,binary,7323,,,7268,55,0.769694062419022,2.13381863430809,1.36412457188906,0.0220714358136113
seller_N_total_value_high,`time_n-1_sale_str_2024-10`,binary,7323,,,7255,68,0.77254114552059,1.56927146759589,0.796730322075304,0.0197117002855373
seller_N_total_value_high,`time_n-1_sale_str_2024-11`,binary,7323,,,7175,148,0.751883817984518,2.14006808452352,1.38818426653901,0.0208036588801182
seller_N_total_value_high,`time_n-1_sale_str_2024-12`,binary,7323,,,7196,127,0.778428508702797,0.865550566323396,0.0871220576205985,0.157344041142252
seller_N_total_value_high,`time_n-1_sale_str_2025-01`,binary,7323,,,7259,64,0.77979573133703,0.796238387076488,0.0164426557394574,0.106002613933247
seller_N_total_value_high,`time_n-1_sale_str_2025-02`,binary,7323,,,7226,97,0.76376631909381,1.98475308017043,1.22098676107663,0.0807131889778917
seller_N_total_value_high,`time_n-1_sale_str_2025-03`,binary,7323,,,7305,18,0.776089009904986,2.3425696218042,1.56648061189921,0.039896399806221
seller_N_total_value_high,`Background_recoded_Army Green`,binary,7323,,,6426,897,0.764863351908588,0.887942665756763,0.123079313848175,-0.000169448705883999
seller_N_total_value_high,Background_recoded_Blue,binary,7323,,,6426,897,0.767336654471477,0.870224223985159,0.102887569513682,-0.0152507910294217
seller_N_total_value_high,Background_recoded_Gray,binary,7323,,,6435,888,0.741987535405257,1.05496247772024,0.312974942314978,0.00348725233972475
seller_N_total_value_high,`Background_recoded_New Punk Blue`,binary,7323,,,6415,908,0.774611411632212,0.817581789568017,0.0429703779358051,-0.0353792221885488
seller_N_total_value_high,Background_recoded_Orange,binary,7323,,,6388,935,0.774676927757541,0.815893321960667,0.0412163942031261,0.0152430730385841
seller_N_total_value_high,Background_recoded_Purple,binary,7323,,,6376,947,0.867167663862492,0.19264566606246,-0.674521997800032,0.0240378945283457
seller_N_total_value_high,Background_recoded_Yellow,binary,7323,,,6396,927,0.768763252583618,0.857051463887355,0.0882882113037364,-0.00498346739848222
seller_N_total_value_high,`Clothes_recoded_Bayc T Black`,binary,7323,,,7170,153,0.767719910797704,1.3525798047638,0.584859893966098,0.00010064083066627
seller_N_total_value_high,`Clothes_recoded_Bayc T Red`,binary,7323,,,7223,100,0.775316685398715,1.1138405191348,0.338523833736084,-0.0447240034500832
seller_N_total_value_high,`Clothes_recoded_Biker Vest`,binary,7323,,,7133,190,0.791936392777458,0.329548320351534,-0.462388072425924,0.071542179764551
seller_N_total_value_high,`Clothes_recoded_Black Holes T`,binary,7323,,,7176,147,0.768302135208938,1.34802958019768,0.579727444988743,-0.0164374901912575
seller_N_total_value_high,`Clothes_recoded_Black T`,binary,7323,,,7072,251,0.763243538143224,1.25035127011759,0.487107731974369,-0.058991285146585
seller_N_total_value_high,`Clothes_recoded_Bone Necklace`,binary,7323,,,7177,146,0.773287567147443,1.10692877487126,0.333641207723813,-0.022556203325061
seller_N_total_value_high,`Clothes_recoded_Bone Tee`,binary,7323,,,7155,168,0.786900801252908,0.483459747522892,-0.303441053730015,0.00391463688695072
seller_N_total_value_high,`Clothes_recoded_Caveman Pelt`,binary,7323,,,7206,117,0.786510010798095,0.375259254165212,-0.411250756632883,0.0423445060192096
seller_N_total_value_high,`Clothes_recoded_Cowboy Shirt`,binary,7323,,,7233,90,0.783191791318124,0.518558266049022,-0.264633525269101,0.0260578042583817
seller_N_total_value_high,Clothes_recoded_Guayabera,binary,7323,,,7143,180,0.793925199718683,0.224937605321358,-0.568987594397326,-0.00176808925167969
seller_N_total_value_high,Clothes_recoded_Hawaiian,binary,7323,,,7124,199,0.775693832211706,0.931927687800031,0.156233855588325,0.00569534803450656
seller_N_total_value_high,`Clothes_recoded_Hip Hop`,binary,7323,,,7227,96,0.773892928610742,1.23512786956837,0.461234940957625,-0.00257161907669525
seller_N_total_value_high,`Clothes_recoded_Lab Coat`,binary,7323,,,7224,99,0.788986704399047,0.119762807774588,-0.669223896624459,0.00985378683152481
seller_N_total_value_high,`Clothes_recoded_Leather Jacket`,binary,7323,,,7173,150,0.767691102808998,1.36565460066305,0.597963497854055,-0.0490759577000265
