treatment,covariate,type,n,cor,slope_catepct_per_unit,n0,n1,mean0,mean1,diff1minus0
seller_N_total_value_high,Fur_recoded_Pink,binary,3196,,,3024,172,-12.8731288048782,-13.3902422596262,-0.517113454748001
seller_N_total_value_high,Fur_recoded_Red,binary,3196,,,3055,141,-12.8858974282298,-13.2272803642929,-0.341382936063088
seller_N_total_value_high,Fur_recoded_Robot,binary,3196,,,3128,68,-12.9104026672992,-12.4665239896364,0.443878677662859
seller_N_total_value_high,Fur_recoded_Tan,binary,3196,,,2990,206,-12.8874776408706,-13.0966263514765,-0.209148710605863
seller_N_total_value_high,Fur_recoded_White,binary,3196,,,3060,136,-12.8978544653487,-12.9707978723547,-0.0729434070060115
seller_N_total_value_high,Fur_recoded_Zombie,binary,3196,,,3109,87,-12.9216089325005,-12.1630000398087,0.758608892691816
seller_N_total_value_high,`Hat_recoded_Baby's Bonnet`,binary,3196,,,3138,58,-12.895718498804,-13.1844573337995,-0.288738834995526
seller_N_total_value_high,`Hat_recoded_Bayc Flipped Brim`,binary,3196,,,3124,72,-12.8958950849146,-13.1206517963079,-0.224756711393326
seller_N_total_value_high,`Hat_recoded_Bayc Hat Black`,binary,3196,,,3120,76,-12.9037258512983,-12.7873489283762,0.116376922922095
seller_N_total_value_high,`Hat_recoded_Bayc Hat Red`,binary,3196,,,3156,40,-12.8982339907262,-13.1159174968893,-0.217683506163105
seller_N_total_value_high,Hat_recoded_Beanie,binary,3196,,,3018,178,-12.9091386189557,-12.7622630483098,0.146875570645834
seller_N_total_value_high,Hat_recoded_Bowler,binary,3196,,,3102,94,-12.9130512255891,-12.501896519468,0.411154706121094
seller_N_total_value_high,`Hat_recoded_Bunny Ears`,binary,3196,,,3133,63,-12.8998396396495,-12.9565965648499,-0.0567569252004532
seller_N_total_value_high,`Hat_recoded_Commie Hat`,binary,3196,,,3084,112,-12.9070824895758,-12.732328363889,0.174754125686793
seller_N_total_value_high,`Hat_recoded_Cowboy Hat`,binary,3196,,,3089,107,-12.9015713586389,-12.8832639978665,0.0183073607724609
