bin,n,mean_cate_pct,sd_cate_pct,treatment,covariate
"(0.144,0.733]",718,5.67894080913349,3.13377814113206,buyer_N_total_value_high,log_buyern_rolling_avg_value_last10
"(1.67,3.3]",729,2.05652139129295,2.43509976151189,buyer_N_total_value_high,log_buyern_rolling_avg_value_last10
"[0,2.1e-05]",731,5.77697124060993,3.26697297043374,buyer_N_total_value_high,log_buyern_rolling_avg_value_last10
"(2.1e-05,0.144]",742,7.22694231017645,2.92760565368367,buyer_N_total_value_high,log_buyern_rolling_avg_value_last10
"(0.733,1.67]",726,3.08246280176594,2.54550366106674,buyer_N_total_value_high,log_buyern_rolling_avg_value_last10
"(5.6,7.01]",729,5.69649129740235,3.39008170794808,buyer_N_total_value_high,log_sellern_total_value
"[4.13,5.6]",730,5.17116593875992,3.1297156796341,buyer_N_total_value_high,log_sellern_total_value
"(7.01,8.33]",729,5.52421188131515,3.39777042765679,buyer_N_total_value_high,log_sellern_total_value
"(8.39,9.63]",629,5.2016510655496,3.46895670933021,buyer_N_total_value_high,log_sellern_total_value
"(8.33,8.39]",829,2.62150360376209,2.88172921062183,buyer_N_total_value_high,log_sellern_total_value
"[0,0.0613]",730,5.69133524797826,3.24825206744357,buyer_N_total_value_high,log_sellern_rolling_avg_value_last10
"(1.29,2.63]",729,5.40710288945205,3.369087073617,buyer_N_total_value_high,log_sellern_rolling_avg_value_last10
"(0.0613,0.477]",729,5.44482775520074,3.34864848836619,buyer_N_total_value_high,log_sellern_rolling_avg_value_last10
"(0.477,0.982]",1242,3.40772721454909,3.29667142416571,buyer_N_total_value_high,log_sellern_rolling_avg_value_last10
"(0.982,1.29]",216,5.10083050408932,3.24580344884338,buyer_N_total_value_high,log_sellern_rolling_avg_value_last10
"(9.43,10.2]",720,4.11326672237067,3.49721311870052,buyer_N_total_value_high,log_buyern_1_total_value
"(7.3,8.37]",725,4.70996596407173,3.51557110989584,buyer_N_total_value_high,log_buyern_1_total_value
"(6.02,7.3]",733,5.28526986447631,3.43035980949094,buyer_N_total_value_high,log_buyern_1_total_value
"[4.55,6.02]",730,5.50386735543082,3.28067451542218,buyer_N_total_value_high,log_buyern_1_total_value
"(8.37,9.43]",738,4.24350327390889,3.32332615589066,buyer_N_total_value_high,log_buyern_1_total_value
"(0.297,0.982]",777,4.67945464623638,3.39571436927813,buyer_N_total_value_high,log_buyern_1_rolling_avg_value_last10
"(0.00151,0.0696]",729,5.73910764550768,3.40485141984281,buyer_N_total_value_high,log_buyern_1_rolling_avg_value_last10
