treatment,covariate,method,n_obs,coef_log,se_log,z_or_t,p_value,ci_lo_log,ci_hi_log,coef_pct,ci_lo_pct,ci_hi_pct,r2_tau,r2_tau_oos
buyer_N_1_Tvalue_Gaspaid_11vs00,`time_n-1_sale_str_2021-12`,grf_blp_single,2730,1.00323943054682,0.295484967607306,3.39523001346081,0.000685709665103629,0.4240888940365,1.58238996705714,172.710179176531,52.8197435384814,386.657287235718,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,`time_n-1_sale_str_2022-01`,grf_blp_single,2730,0.157234385590145,0.222336690204106,0.707190457165675,0.479448128047418,-0.278545527209903,0.593014298390193,17.0269876153649,-24.3116191842519,80.943437852977,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,`time_n-1_sale_str_2022-02`,grf_blp_single,2730,0.634473942178845,0.303996953023101,2.08710625507694,0.0368785307752822,0.0386399142535667,1.23030797010412,88.6029719761015,3.93961445205706,242.228333496711,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,`time_n-1_sale_str_2022-03`,grf_blp_single,2730,0.656827065280567,0.258941145694577,2.53658824100245,0.0111938528192487,0.149302419719196,1.16435171084194,92.8663093611951,16.1024052690145,220.384519170125,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,`time_n-1_sale_str_2022-04`,grf_blp_single,2730,0.573735251845663,0.477407680047046,1.20177214532687,0.229451820274195,-0.361983801046547,1.50945430473787,77.4884325099323,-30.3706353021208,352.426125263675,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,`time_n-1_sale_str_2022-05`,grf_blp_single,2730,-0.563411395098021,0.431580966322266,-1.30545932064417,0.191736490302712,-1.40931008908966,0.282487298893621,-43.0736235971854,-75.5688221615164,32.6424927925648,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,`time_n-1_sale_str_2022-06`,grf_blp_single,2730,0.771072844895411,0.258476473719866,2.98314517293783,0.00285302633573174,0.264458956404472,1.27768673338635,116.208459137152,30.2725953537794,258.832935472837,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,`time_n-1_sale_str_2022-07`,grf_blp_single,2730,0.500396581641387,0.474744760576451,1.05403286817487,0.291867869237765,-0.430103149088456,1.43089631237123,64.937525295796,-34.9558001236334,318.244629073927,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,`time_n-1_sale_str_2022-08`,grf_blp_single,2730,0.542451637307858,0.184028604951667,2.94764847807398,0.00320200942166063,0.181755571602591,0.903147703013124,72.0219049897214,19.932100993765,146.735740899187,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,`time_n-1_sale_str_2022-09`,grf_blp_single,2730,1.17109674533271,0.375288945526652,3.1205202265931,0.001805318993456,0.435530412100475,1.90666307856495,222.55282824129,54.5782743418655,573.059182795374,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,`time_n-1_sale_str_2022-10`,grf_blp_single,2730,-1.29178318410625,1.26144242960299,-1.02405242902192,0.30581051182184,-3.76421034612811,1.1806439779156,-72.5219638010063,-97.6814086144969,225.647062295709,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,`time_n-1_sale_str_2022-11`,grf_blp_single,2730,0.397211024750168,0.283274634024788,1.40221176568676,0.160852019241054,-0.158007257938417,0.952429307438752,48.766983208424,-14.6156415198164,159.199877903538,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,`time_n-1_sale_str_2022-12`,grf_blp_single,2730,0.0325624857236594,0.423331809349904,0.0769195345222568,0.93868755728423,-0.797167860602153,0.862292832049472,3.30984450311151,-54.9396669881638,136.858524069353,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,`time_n-1_sale_str_2023-01`,grf_blp_single,2730,1.56374268189796,0.381176015360183,4.10241625622836,4.0885785790069e-05,0.816637691792004,2.31084767200392,377.666537088133,126.287853705297,908.296808325013,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,`time_n-1_sale_str_2023-02`,grf_blp_single,2730,0.181271239409613,0.584426235902654,0.310169578765809,0.756432003114174,-0.964204182959588,1.32674666177881,19.8740280807081,-61.8713486663143,276.876236259609,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,`time_n-1_sale_str_2023-03`,grf_blp_single,2730,0.811708406781683,0.405077732074333,2.00383369045014,0.045087878580957,0.0177560519159897,1.60566076164738,125.175161022693,1.79146277758091,398.114986837215,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,`time_n-1_sale_str_2023-04`,grf_blp_single,2730,0.12594256898115,0.472815820931068,0.266367078692806,0.789956516998611,-0.800776440043744,1.05266157800604,13.4217027173015,-55.1019777477344,186.526711021057,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,`time_n-1_sale_str_2023-05`,grf_blp_single,2730,-0.167667702589382,0.557483925926165,-0.300757913891115,0.763599103150551,-1.26033619740467,0.925000792225901,-15.4365209747201,-71.6441321219036,152.187025824829,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,`time_n-1_sale_str_2023-06`,grf_blp_single,2730,-0.148154325654026,0.141931085707417,-1.04384691285627,0.296556222836503,-0.426339253640563,0.130030602332512,-13.7701970034343,-34.7105192395779,13.8863234662745,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,`time_n-1_sale_str_2023-07`,grf_blp_single,2730,-0.315445764965162,0.172822536977994,-1.82525827060002,0.0679620641627878,-0.654177937442031,0.0232864075117061,-27.0536367546969,-48.0130747978102,2.35596527435282,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,`time_n-1_sale_str_2023-08`,grf_blp_single,2730,-0.441821492938564,0.19932893728242,-2.21654466713263,0.0266542223290722,-0.832506210012107,-0.05113677586502,-35.713561895466,-56.5042176476821,-4.98512957664161,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,`time_n-1_sale_str_2023-09`,grf_blp_single,2730,-0.198829906358552,0.236274410005429,-0.841521120945701,0.400056057808246,-0.661927749969192,0.264267937252088,-18.0310694585151,-48.4144065902644,30.2477131695985,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,`time_n-1_sale_str_2023-10`,grf_blp_single,2730,0.0423603366724114,0.13978371139638,0.303042008609225,0.761857847628019,-0.231615737664494,0.316336411009317,4.32703395910679,-20.6749118814307,37.2091764768773,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,`time_n-1_sale_str_2023-11`,grf_blp_single,2730,-0.0318667811736542,0.117152903764565,-0.272010169186202,0.785614200182483,-0.261486472552202,0.197752910204894,-3.1364386016081,-23.0093709778952,21.8661237861326,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,`time_n-1_sale_str_2023-12`,grf_blp_single,2730,0.0262807198728861,0.0798788183605016,0.329007369065958,0.742150118129289,-0.130281764113697,0.182843203859469,2.66291032175248,-12.2151950007103,20.0626139776408,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,`time_n-1_sale_str_2024-01`,grf_blp_single,2730,0.0526147818699378,0.0689672612878135,0.762895044510558,0.445525991807586,-0.0825610502541767,0.187790613994052,5.40235379281291,-7.92447761995667,20.6580847753435,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,`time_n-1_sale_str_2024-02`,grf_blp_single,2730,0.0730967175742422,0.0822579862908999,0.888627607728453,0.374203248691988,-0.0881289355559215,0.234322370704406,7.58345839942816,-8.43571898027556,26.4051919840688,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,`time_n-1_sale_str_2024-03`,grf_blp_single,2730,0.19808880988911,0.0579924649483983,3.41576806685782,0.000636023936423741,0.0844235785902493,0.311754041187971,21.9070654543907,8.80896877067054,36.5818716564014,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,`time_n-1_sale_str_2024-04`,grf_blp_single,2730,0.199547407207139,0.0479316366199845,4.16316698695701,3.13863654214166e-05,0.10560139943197,0.293493414982309,22.0850085151991,11.1378791987744,34.110434818524,0.800861714312945,0.837497144831612
