condition,nuisance_spec,treatment,treatment_var,split_rule,cutoff_raw,share_high,ATE_log,SE_log,ATE_pct,CI95_lo_pct,CI95_hi_pct,p_value,kept_pct,alpha,n_kept,calib_intercept,calib_slope,calib_p_slope,r2_tau,r2_tau_oos
diffp,BASE_M2V11,buyer_N_1_total_value_high,log_buyern_1_total_value,median,2634.67011273815,0.5,-0.463212738834375,0.0427454830037166,-37.0741249505385,-42.1313202958934,-31.574976809788,2.31068237886682e-27,93.8837081733407,0.1,3423,,,,0.832857995657277,0.860641749841187
diffp,BASE_M2V11,buyer_N_1_gaspaid_high,log_buyern_1_avg_total_gaspaid,median,10.0460859499784,0.500274273176084,0.369978189594515,0.0462023706169772,44.7703039328681,32.2364660205747,58.4921431396548,1.16802322657834e-15,93.0060340098738,0.1,3391,,,,0.807769966332346,0.839519412776414
diffp,BASE_M2V11,buyer_N_1_gaslimit_cost_high,log_buyern_1_avg_gasLimit_cost,median,0.00842431062528041,0.5,0.285468780334859,0.0449850392985806,33.0385540544061,21.8107108347882,45.3013182797418,2.21185711371608e-10,91.0861217772902,0.1,3321,,,,0.688212080845559,0.70303965925872
diffp,TEMPORAL_AUG_M2V11,seller_N_total_value_high,log_sellern_total_value,median,2090.23794627941,0.5,-0.132692118618419,0.0437021583814375,-12.4265326991804,-19.6154625880475,-4.59468422657876,0.0023951447883815,82.5562260010971,0.1,3010,,,,0.708457100378796,0.701570763853094
diffp,TEMPORAL_AUG_M2V11,seller_N_1_total_value_high,log_sellern_1_total_value,median,2255.0931438792,0.5,-0.499601751007536,0.0435992691922099,-39.3227741958285,-44.292551274004,-33.9096329936156,2.12075466007535e-30,81.1300054854635,0.1,2958,,,,0.785295231362289,0.82258463584184
diffp,TEMPORAL_AUG_M2V11,buyer_N_total_value_high,log_buyern_total_value,median,2227.28783343222,0.501097092704334,-0.00976536767879729,0.0378077769558498,-0.971784130582831,-8.04479323666182,6.64526657548332,0.796183165210989,98.7931980252331,0.1,3602,,,,0.722961019996876,0.760985903267094
diffp,TEMPORAL_AUG_M2V11,seller_N_gaspaid_high,log_sellern_avg_total_gaspaid,median,3.91283573237692,0.501919912232584,0.0650206885951166,0.0465038434519385,6.71811026335563,-2.57884916694205,16.9022841630935,0.162059377704885,81.5414152495886,0.1,2973,,,,0.541958128299905,0.570465170702212
diffp,TEMPORAL_AUG_M2V11,seller_N_1_gaspaid_high,log_sellern_1_avg_total_gaspaid,median,14.6142502398712,0.5,0.466483424699197,0.0521256100223696,59.4377574575326,43.9530802729338,76.5880831093723,3.58010921140693e-19,84.0373011519474,0.1,3064,,,,0.799871697225251,0.868900679421646
diffp,TEMPORAL_AUG_M2V11,buyer_N_gaspaid_high,log_buyern_avg_total_gaspaid,median,3.94503981852923,0.5,-0.122442758083139,0.0390998563855695,-11.5243451345201,-18.0514419631731,-4.47737347181013,0.00173892189786592,95.8036204059243,0.1,3493,,,,0.737383811489826,0.784158715406686
diffp,TEMPORAL_AUG_M2V11,seller_N_gaslimit_cost_high,log_sellern_avg_gasLimit_cost,median,0.00835198924962315,0.500548546352167,0.307510752317048,0.0431637923770805,36.0035431955503,24.9707744100431,48.0103156042973,1.04629510036153e-12,83.4613274821722,0.1,3043,,,,0.773702542299144,0.825706997606538
diffp,TEMPORAL_AUG_M2V11,seller_N_1_gaslimit_cost_high,log_sellern_1_avg_gasLimit_cost,median,0.0130669126323884,0.500274273176084,0.0328708812676524,0.0461502960459687,3.34170971209855,-5.59571283481685,13.1252540208609,0.476305513826817,83.2144816236972,0.1,3034,,,,0.576070812861392,0.553639434162858
diffp,TEMPORAL_AUG_M2V11,buyer_N_gaslimit_cost_high,log_buyern_avg_gasLimit_cost,median,0.00724335425814251,0.5,0.327019839318393,0.0365997480695338,38.6828990649279,29.0828593997533,48.9969046431716,4.07068519898654e-19,99.9725726823917,0.1,3645,,,,0.885751195118229,0.935198797725704
diffp,TEMPORAL_AUG_M2V11,buyer_N_1_total_value_high,log_buyern_1_total_value,median,2634.67011273815,0.5,-0.403174428526452,0.0385423228889311,-33.1804463204924,-38.0422435897992,-27.9371460068961,1.3107336051834e-25,93.911135490949,0.1,3424,,,,0.8527153743634,0.89014858047605
diffp,TEMPORAL_AUG_M2V11,buyer_N_1_gaspaid_high,log_buyern_1_avg_total_gaspaid,median,10.0460859499784,0.500274273176084,0.29062450237774,0.0415571021926607,33.7262350829191,23.2657714806722,45.0743846782812,2.68346225675803e-12,93.0883159626988,0.1,3394,,,,0.796133698751262,0.865950277131915
diffp,TEMPORAL_AUG_M2V11,buyer_N_1_gaslimit_cost_high,log_buyern_1_avg_gasLimit_cost,median,0.00842431062528041,0.5,0.250021349770131,0.0410976757045473,28.4052830627869,18.4676694112631,39.1765095099176,1.17521954834267e-09,90.6747120131651,0.1,3306,,,,0.78180329452779,0.814289863000336
