K,stub,ATE_pct,CI_lower_pct,CI_upper_pct,kept_pct,n_kept,q_value_bh,combo,combo_short,rank_k,gates_dec,n,mean_pct,lo_pct,hi_pct
3,Background_Aquamarine_Earring_No_Fur_Black,-19.2139681956665,-26.0340957360604,-11.7649814514256,100,9254,4.03113866220828e-05,Background_Aquamarine+Earring_No+Fur_Black,BG:Aquamarine+Ear:No+Fur:Black,1,9,925,-18.9693176891213,-18.9705022325385,-18.9678986437027
3,Background_Aquamarine_Earring_No_Fur_Black,-19.2139681956665,-26.0340957360604,-11.7649814514256,100,9254,4.03113866220828e-05,Background_Aquamarine+Earring_No+Fur_Black,BG:Aquamarine+Ear:No+Fur:Black,1,10,926,-18.8522679539856,-18.8574397531515,-18.8465228988337
3,Clothes_No_Earring_No_Mouth_Other,39.824058690152,21.142588206859,61.3864098330377,100,9254,8.19824718917654e-05,Clothes_No+Earring_No+Mouth_Other,Cl:No+Ear:No+Mouth:Other,2,1,926,39.2901503344075,39.2735732030705,39.3058432789421
3,Clothes_No_Earring_No_Mouth_Other,39.824058690152,21.142588206859,61.3864098330377,100,9254,8.19824718917654e-05,Clothes_No+Earring_No+Mouth_Other,Cl:No+Ear:No+Mouth:Other,2,2,925,39.6269189719666,39.6231618153505,39.6303576583383
3,Clothes_No_Earring_No_Mouth_Other,39.824058690152,21.142588206859,61.3864098330377,100,9254,8.19824718917654e-05,Clothes_No+Earring_No+Mouth_Other,Cl:No+Ear:No+Mouth:Other,2,3,925,39.8019924466186,39.7990268517819,39.8049791146655
3,Clothes_No_Earring_No_Mouth_Other,39.824058690152,21.142588206859,61.3864098330377,100,9254,8.19824718917654e-05,Clothes_No+Earring_No+Mouth_Other,Cl:No+Ear:No+Mouth:Other,2,4,926,39.9397820238434,39.9373537473565,39.9424309596814
3,Clothes_No_Earring_No_Mouth_Other,39.824058690152,21.142588206859,61.3864098330377,100,9254,8.19824718917654e-05,Clothes_No+Earring_No+Mouth_Other,Cl:No+Ear:No+Mouth:Other,2,5,925,40.0603846781569,40.0584843593114,40.0625531548458
3,Clothes_No_Earring_No_Mouth_Other,39.824058690152,21.142588206859,61.3864098330377,100,9254,8.19824718917654e-05,Clothes_No+Earring_No+Mouth_Other,Cl:No+Ear:No+Mouth:Other,2,6,925,40.1760595195577,40.1737110517457,40.1781968160454
3,Clothes_No_Earring_No_Mouth_Other,39.824058690152,21.142588206859,61.3864098330377,100,9254,8.19824718917654e-05,Clothes_No+Earring_No+Mouth_Other,Cl:No+Ear:No+Mouth:Other,2,7,926,40.3005357592197,40.2982094392676,40.3029163171264
3,Clothes_No_Earring_No_Mouth_Other,39.824058690152,21.142588206859,61.3864098330377,100,9254,8.19824718917654e-05,Clothes_No+Earring_No+Mouth_Other,Cl:No+Ear:No+Mouth:Other,2,8,925,40.4353770161742,40.4324785144101,40.4382121831174
3,Clothes_No_Earring_No_Mouth_Other,39.824058690152,21.142588206859,61.3864098330377,100,9254,8.19824718917654e-05,Clothes_No+Earring_No+Mouth_Other,Cl:No+Ear:No+Mouth:Other,2,9,925,40.6090967650372,40.6048383221314,40.6131001596818
3,Clothes_No_Earring_No_Mouth_Other,39.824058690152,21.142588206859,61.3864098330377,100,9254,8.19824718917654e-05,Clothes_No+Earring_No+Mouth_Other,Cl:No+Ear:No+Mouth:Other,2,10,926,40.9517853337235,40.937888305968,40.9652926492284
3,Earring_No_Eyes_Bored_Fur_Golden_Brown,-11.4393486961186,-18.4140120204426,-3.86843190116364,100,9254,0.0232522202346198,Earring_No+Eyes_Bored+Fur_Golden.Brown,Ear:No+Eyes:Bored+Fur:Golden·Brown,3,1,926,-11.8059474701364,-11.8131019005275,-11.799927740586
3,Earring_No_Eyes_Bored_Fur_Golden_Brown,-11.4393486961186,-18.4140120204426,-3.86843190116364,100,9254,0.0232522202346198,Earring_No+Eyes_Bored+Fur_Golden.Brown,Ear:No+Eyes:Bored+Fur:Golden·Brown,3,2,925,-11.6772725332737,-11.6785995087275,-11.6760907280193
3,Earring_No_Eyes_Bored_Fur_Golden_Brown,-11.4393486961186,-18.4140120204426,-3.86843190116364,100,9254,0.0232522202346198,Earring_No+Eyes_Bored+Fur_Golden.Brown,Ear:No+Eyes:Bored+Fur:Golden·Brown,3,3,925,-11.6145709613374,-11.6156187504621,-11.6135842261243
3,Earring_No_Eyes_Bored_Fur_Golden_Brown,-11.4393486961186,-18.4140120204426,-3.86843190116364,100,9254,0.0232522202346198,Earring_No+Eyes_Bored+Fur_Golden.Brown,Ear:No+Eyes:Bored+Fur:Golden·Brown,3,4,926,-11.5651661309268,-11.566072259474,-11.5643061201463
3,Earring_No_Eyes_Bored_Fur_Golden_Brown,-11.4393486961186,-18.4140120204426,-3.86843190116364,100,9254,0.0232522202346198,Earring_No+Eyes_Bored+Fur_Golden.Brown,Ear:No+Eyes:Bored+Fur:Golden·Brown,3,5,925,-11.5229665226125,-11.5237703998359,-11.5221878704193
3,Earring_No_Eyes_Bored_Fur_Golden_Brown,-11.4393486961186,-18.4140120204426,-3.86843190116364,100,9254,0.0232522202346198,Earring_No+Eyes_Bored+Fur_Golden.Brown,Ear:No+Eyes:Bored+Fur:Golden·Brown,3,6,925,-11.4813379609695,-11.4821250214612,-11.4804702929124
